,index,Open Time,open,high,low,close,Close Time,EMA,RSI,BBL_70_1.6,BBM_70_1.6,BBU_70_1.6,BBB_70_1.6,BBP_70_1.6
422,1471,2021-08-27,46843.86,49149.93,46348.0,49069.9,2021-08-27 23:59:59.999000064,41763.68,54.52,28745.473671139785,38368.416428571414,47991.35918600304,50.160750185487515,0.9403769088662172
423,1472,2021-08-28,49069.9,49299.0,48346.88,48895.35,2021-08-28 23:59:59.999000064,41969.49,60.97,28736.282760347873,38557.69385714284,48379.10495393781,50.94397571174005,1.0351678103713438
424,1473,2021-08-29,48895.35,49632.27,47762.54,48767.83,2021-08-29 23:59:59.999000064,42164.58,60.24,28752.846659316267,38749.28857142855,48745.730483540836,51.59548616581866,1.0074836385673325
425,1474,2021-08-30,48767.84,48888.61,46853.0,46982.91,2021-08-30 23:59:59.999000064,42350.59,59.67,28781.300845988906,38937.39814285713,49093.495439725346,52.166286301958806,0.9839674911431889
426,1475,2021-08-31,46982.91,48246.11,46700.0,47100.89,2021-08-31 23:59:59.999000064,42481.08,52.14,28986.9548578634,39156.952285714266,49326.94971356513,51.94478545543604,0.8847571137458746
427,1476,2021-09-01,47100.89,49156.0,46512.0,48810.52,2021-09-01 23:59:59.999000064,42611.21,52.57,29166.89581226765,39365.39985714284,49563.90390201803,51.814558378096464,0.8792463144015857
428,1477,2021-09-02,48810.51,50450.13,48584.06,49246.64,2021-09-02 23:59:59.999000064,42785.84,58.49,29287.53645639668,39581.62042857141,49875.704400746145,52.014464596017895,0.9482618169996767
429,1478,2021-09-03,49246.63,51000.0,48316.84,49999.14,2021-09-03 23:59:59.999000064,42967.83,59.88,29378.975239970314,39789.95685714284,50200.938474315364,52.32969542817492,0.9541681798409254
430,1479,2021-09-04,49998.0,50535.69,49370.0,49915.64,2021-09-04 23:59:59.999000064,43165.87,62.26,29586.2867883652,40053.12699999998,50519.96721163476,52.26478427831507,0.9750656740200091
431,1480,2021-09-05,49917.54,51900.0,49450.0,51756.88,2021-09-05 23:59:59.999000064,43356.06,61.83,29781.575295578885,40305.0397142857,50828.50413299251,52.21909961287983,0.9567174793040042
432,1481,2021-09-06,51756.88,52780.0,50969.33,52663.9,2021-09-06 23:59:59.999000064,43592.7,67.43,29860.382582221828,40548.673857142836,51236.965132063844,52.71832717675041,1.024321701877459
433,1482,2021-09-07,52666.2,52920.0,42843.05,46863.73,2021-09-07 23:59:59.999000064,43848.29,69.81,29941.03233188827,40808.26399999998,51675.49566811169,53.25995571932055,1.0455821851481912
434,1483,2021-09-08,46868.57,47340.99,44412.02,46048.31,2021-09-08 23:59:59.999000064,43933.37,46.25,30079.00469053534,40964.7904285714,51850.57616660747,53.14703492511285,0.7711691977732107
435,1484,2021-09-09,46048.31,47399.97,45513.08,46395.14,2021-09-09 23:59:59.999000064,43992.94,43.96,30254.57261430483,41121.98057142855,51989.38852855226,52.854496821947166,0.7266561376920696
436,1485,2021-09-10,46395.14,47033.0,44132.29,44850.91,2021-09-10 23:59:59.999000064,44060.61,45.21,30493.7946641038,41306.163571428544,52118.53247875329,52.3523269771955,0.735331242958422
437,1486,2021-09-11,44842.2,45987.93,44722.22,45173.69,2021-09-11 23:59:59.999000064,44082.63,40.77,30729.446726433853,41464.10157142855,52198.75641642325,51.77806554666349,0.6573454609090933
438,1487,2021-09-12,45173.68,46460.0,44742.06,46025.24,2021-09-12 23:59:59.999000064,44113.36,42.09,30937.563544069322,41614.1667142857,52290.76988450207,51.31234871778034,0.6666968992368275
