,index,Open Time,open,high,low,close,Close Time,EMA,RSI
1049,1947,2022-12-16,17356.96,17531.73,16527.32,16632.12,2022-12-16 23:59:59.999000064,18052.46,41.61
1050,1948,2022-12-17,16631.5,16796.82,16579.85,16776.52,2022-12-17 23:59:59.999000064,18016.52,44.18
1051,1949,2022-12-18,16777.54,16863.26,16663.07,16738.21,2022-12-18 23:59:59.999000064,17980.51,43.63
1052,1950,2022-12-19,16739.0,16815.99,16256.3,16438.88,2022-12-19 23:59:59.999000064,17937.08,39.4
1053,1951,2022-12-20,16438.88,17061.27,16397.2,16895.56,2022-12-20 23:59:59.999000064,17907.74,47.82
1054,1952,2022-12-21,16896.15,16925.0,16723.0,16824.67,2022-12-21 23:59:59.999000064,17877.24,46.72
1055,1953,2022-12-22,16824.68,16868.52,16559.85,16821.43,2022-12-22 23:59:59.999000064,17847.49,46.67
1056,1954,2022-12-23,16821.9,16955.14,16731.13,16778.5,2022-12-23 23:59:59.999000064,17817.38,45.91
1057,1955,2022-12-24,16778.52,16869.99,16776.62,16836.12,2022-12-24 23:59:59.999000064,17789.74,47.17
1058,1956,2022-12-25,16835.73,16857.96,16721.0,16832.11,2022-12-25 23:59:59.999000064,17762.77,47.08
1059,1957,2022-12-26,16832.11,16944.52,16791.0,16919.39,2022-12-26 23:59:59.999000064,17739.01,49.21
1060,1958,2022-12-27,16919.39,16972.83,16592.37,16706.36,2022-12-27 23:59:59.999000064,17709.92,44.45
1061,1959,2022-12-28,16706.06,16785.19,16465.33,16547.31,2022-12-28 23:59:59.999000064,17677.17,41.2
1062,1960,2022-12-29,16547.32,16664.41,16488.91,16633.47,2022-12-29 23:59:59.999000064,17647.77,43.64
1063,1961,2022-12-30,16633.47,16677.35,16333.0,16607.48,2022-12-30 23:59:59.999000064,17618.47,43.05
1064,1962,2022-12-31,16607.48,16644.09,16470.0,16542.4,2022-12-31 23:59:59.999000064,17588.15,41.53
1065,1963,2023-01-01,16541.77,16628.0,16499.01,16616.75,2023-01-01 23:59:59.999000064,17560.79,44.0
1066,1964,2023-01-02,16617.17,16799.23,16548.7,16672.87,2023-01-02 23:59:59.999000064,17535.78,45.88
1067,1965,2023-01-03,16672.78,16778.4,16605.28,16675.18,2023-01-03 23:59:59.999000064,17511.54,45.96
1068,1966,2023-01-04,16675.65,16991.87,16652.66,16850.36,2023-01-04 23:59:59.999000064,17492.91,51.95
1069,1967,2023-01-05,16850.36,16879.82,16753.0,16831.85,2023-01-05 23:59:59.999000064,17474.29,51.3
1070,1968,2023-01-06,16831.85,17041.0,16679.0,16950.65,2023-01-06 23:59:59.999000064,17459.54,55.25
1071,1969,2023-01-07,16950.31,16981.91,16908.0,16943.57,2023-01-07 23:59:59.999000064,17445.01,54.96
1072,1970,2023-01-08,16943.83,17176.99,16911.0,17127.83,2023-01-08 23:59:59.999000064,17436.07,60.8
1073,1971,2023-01-09,17127.83,17398.8,17104.66,17178.26,2023-01-09 23:59:59.999000064,17428.81,62.27
1074,1972,2023-01-10,17179.04,17499.0,17146.34,17440.66,2023-01-10 23:59:59.999000064,17429.14,68.86
1075,1973,2023-01-11,17440.64,18000.0,17315.6,17943.26,2023-01-11 23:59:59.999000064,17443.62,77.18
1076,1974,2023-01-12,17943.26,19117.04,17892.05,18846.62,2023-01-12 23:59:59.999000064,17483.15,85.03
1077,1975,2023-01-13,18846.62,20000.0,18714.12,19930.01,2023-01-13 23:59:59.999000064,17552.07,89.68
1078,1976,2023-01-14,19930.01,21258.0,19888.05,20954.92,2023-01-14 23:59:59.999000064,17647.93,92.18
1079,1977,2023-01-15,20952.76,21050.74,20551.01,20871.5,2023-01-15 23:59:59.999000064,17738.73,90.24
1080,1978,2023-01-16,20872.99,21474.05,20611.48,21185.65,2023-01-16 23:59:59.999000064,17835.83,91.02
1081,1979,2023-01-17,21185.65,21647.45,20841.31,21134.81,2023-01-17 23:59:59.999000064,17928.76,89.75
1082,1980,2023-01-18,21132.29,21650.0,20407.15,20677.47,2023-01-18 23:59:59.999000064,18006.19,78.99
1083,1981,2023-01-19,20677.47,21192.0,20659.19,21071.59,2023-01-19 23:59:59.999000064,18092.53,81.12
1084,1982,2023-01-20,21071.59,22755.93,20861.28,22667.21,2023-01-20 23:59:59.999000064,18221.4,86.96
1085,1983,2023-01-21,22666.0,23371.8,22422.0,22783.55,2023-01-21 23:59:59.999000064,18349.91,87.27
1086,1984,2023-01-22,22783.35,23078.71,22292.37,22707.88,2023-01-22 23:59:59.999000064,18472.67,85.81
1087,1985,2023-01-23,22706.02,23180.0,22500.0,22916.45,2023-01-23 23:59:59.999000064,18597.85,86.49
