,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,klines_EMA,RSI,space 1,order_entry_time,order_entry_direction,order_price,order_buy,order_quantity,order_profit,order_liquidation,space 2,Long Result,Short Result,Property
0,2023-02-21 00:00:00,24843.89,25250.0,24148.34,24452.16,21218.48,61.68,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-02-22 00:00:00,24450.67,24476.05,23574.69,24182.21,21301.96,58.75,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-02-23 00:00:00,24182.21,24599.59,23608.0,23940.2,21376.28,56.15,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-02-24 00:00:00,23940.2,24132.35,22841.19,23185.29,21427.24,48.79,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-02-25 00:00:00,23184.04,23219.13,22722.0,23157.07,21475.96,48.53,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-02-26 00:00:00,23157.07,23689.99,23059.18,23554.85,21534.52,52.42,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-02-27 00:00:00,23554.85,23897.99,23106.77,23492.09,21589.67,51.75,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-02-28 00:00:00,23492.09,23600.0,23020.97,23141.57,21633.38,47.99,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-01 00:00:00,23141.57,24000.0,23020.03,23628.97,21689.6,53.15,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-02 00:00:00,23629.76,23796.93,23195.9,23465.32,21739.62,51.29,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-03 00:00:00,23465.32,23476.95,21971.13,22354.34,21756.93,40.72,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-04 00:00:00,22354.34,22410.0,22157.08,22346.57,21773.54,40.65,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-05 00:00:00,22346.57,22662.09,22189.22,22430.24,21792.04,41.73,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-06 00:00:00,22430.24,22602.19,22258.0,22410.0,21809.45,41.53,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-07 00:00:00,22409.41,22557.91,21927.0,22197.96,21820.39,39.39,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-08 00:00:00,22198.56,22287.0,21580.0,21705.44,21817.15,34.84,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-09 00:00:00,21704.37,21834.99,20042.72,20362.22,21776.17,25.93,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-10 00:00:00,20362.21,20367.78,19549.09,20150.69,21730.38,24.84,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-11 00:00:00,20150.69,20686.51,19765.03,20455.73,21694.48,29.5,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-12 00:00:00,20455.73,22150.0,20270.6,21997.11,21703.0,47.48,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-13 00:00:00,21998.05,24500.0,21813.88,24113.48,21770.9,62.0,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-14 00:00:00,24112.27,26386.87,23976.42,24670.41,21852.58,64.79,,,,,965000.0,,,,,,,2218749.9999999963
0,2023-03-15 00:00:00,24670.41,25196.97,23896.95,24285.66,21921.12,61.39,,2023-03-15 00:00:00,多頭進場,24670.41,965000.0,977.892,25163.8182,23683.59,,"Long Win : 1
Long Lose : 0
Uncertain : 0
Nothing : 0",,2701249.9999999967
0,2023-03-16 00:00:00,24285.66,25167.4,24123.0,24998.78,22007.81,65.1,,,,,965000.0,,,,,,,2701249.9999999967
0,2023-03-17 00:00:00,24998.78,27756.84,24890.0,27395.13,22159.57,74.18,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-18 00:00:00,27395.13,27724.85,26578.0,26907.49,22293.31,70.13,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-19 00:00:00,26907.49,28390.1,26827.22,27972.87,22453.3,73.57,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-20 00:00:00,27972.87,28472.0,27124.47,27717.01,22601.57,71.41,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-21 00:00:00,27717.01,28438.55,27303.1,28105.47,22756.61,72.74,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-22 00:00:00,28107.81,28868.05,26601.8,27250.97,22883.21,65.47,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-23 00:00:00,27250.97,28750.0,27105.0,28295.41,23035.67,69.53,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-24 00:00:00,28295.42,28374.3,27000.0,27454.47,23160.14,63.02,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-25 00:00:00,27454.46,27787.33,27156.09,27462.95,23281.35,63.06,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-26 00:00:00,27462.96,28194.4,27417.76,27968.05,23413.37,65.37,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-27 00:00:00,27968.05,28023.86,26508.14,27124.91,23517.92,58.68,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-28 00:00:00,27124.9,27520.0,26631.78,27261.07,23623.36,59.41,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-29 00:00:00,27261.06,28650.0,27240.1,28348.6,23756.46,64.84,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-30 00:00:00,28348.6,29184.68,27686.0,28028.53,23876.8,62.17,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-03-31 00:00:00,28028.53,28656.69,27511.71,28465.36,24006.06,64.35,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-04-01 00:00:00,28465.36,28819.71,28220.27,28452.73,24131.32,64.24,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-04-02 00:00:00,28452.74,28530.0,27856.43,28171.87,24245.14,61.52,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-04-03 00:00:00,28171.87,28500.99,27200.24,27800.0,24345.27,57.98,,,,,967500.0,,,,,,,2711249.9999999967
